453,commander cody and his lost planet airmen
454,apollo 100
455,charley pride
456,alice cooper
457,jimmy castor bunch
458,redbone
459,curtis mayfield
460,jerry butler  brenda lee eager
461,harry chapin
462,beverly bremers
463,todd rundgren
464,sailcat
465,original cast of godspell
466,yes
467,jackson browne
468,the detroit emeralds
469,rick springfield
470,the hillside singers
471,love unlimited
472,paul mccartney  wings
473,kris kristofferson
474,vicki lawrence
475,clint holmes
476,stories
477,billy paul
478,edgar winter group
479,dobie gray
480,sweet
481,sylvia
482,grand funk railroad
483,dr john
484,skylark
485,maureen mcgovern
486,stealers wheel
487,barry white
488,eddie kendricks
489,king harvest
490,bobby boris pickett and the cryptkickers
491,bloodstone
492,seals and crofts
493,the doobie brothers
494,jermaine jackson
495,new york city
496,deep purple
497,charlie rich
498,loggins and messina
499,hurricane smith
500,johnnie taylor
501,eric weissberg  steve mandell
502,bw stevenson
503,edward bear
504,steely dan
505,focus
506,bette midler
507,timmy thomas
508,tower of power
509,the allman brothers band
510,ohio players
511,blue ridge rangers
512,jud strunk
513,deodato
514,pink floyd
515,the pointer sisters
516,david bowie
517,albert hammond
518,barbra streisand
519,terry jacks
520,love unlimited orchestra
521,mfsb
522,kool  the gang
523,maria muldaur
524,al wilson
525,jim stafford
526,david essex
527,blue magic
528,blue swede
529,bo donaldson and the heywoods
530,paul mccartney and wings
531,paul anka
532,george mccrae
533,steve miller band
534,the hues corporation
535,brownsville station
536,paper lace
537,dionne warwick  the spinners
538,marvin hamlisch
539,abba
540,carly simon  james taylor
541,joni mitchell
542,rufus  chaka khan
543,william devaughn
544,johnny bristol
545,mocedades
546,bachmanturner overdrive
547,golden earring
548,dave loggins
549,wet willie
550,bobby womack
551,eric clapton
552,mike oldfield
553,donny and marie osmond
554,tom t hall
555,the guess who featuring wolfman jack
556,sister janet mead
557,lamont dozier
558,diana ross  marvin gaye
559,the first class
560,fancy
561,captain  tennille
562,freddy fender
563,earth wind  fire
564,neil sedaka
565,eagles
566,minnie riperton
567,carl douglas
568,average white band
569,van mccoy  the soul city symphony
570,labelle
571,major harris
572,ozark mountain daredevils
573,pilot
574,barry manilow
575,michael martin murphey
576,jessi colter
577,wings
578,10cc
579,billy swan
580,morris albert
581,sammy johns
582,linda ronstadt
583,bazuka
584,the blackbyrds
585,melissa manchester
586,phoebe snow
587,ace
588,bt express
589,styx
590,grand funk
591,carol douglas
592,kc and the sunshine band
593,paul anka  odia coates
594,bad company
595,orleans
596,gloria gaynor
597,donny  marie osmond
598,the three degrees
599,queen
600,electric light orchestra
601,rufus
602,mike post
603,tavares
604,jethro tull
605,leo sayer
606,neil sedaka  elton john
607,dwight twilley band
608,amazing rhythm aces
609,discotex and the sexolettes
610,elton john  kiki dee
611,the four seasons
612,wild cherry
613,the manhattans
614,gary wright
615,walter murphy  the big apple band
616,hall  oates
617,starland vocal band
618,silver convention
619,andrea true connection
620,dorothy moore
621,the sylvers
622,england dan  john ford coley
623,hot chocolate
624,nazareth
625,commodores
626,maxine nightingale
627,rhythm heritage
628,starbuck
629,dr hook
630,the bellamy brothers
631,vicki sue robinson
632,eric carmen
633,donna summer
634,henry gross
635,boz scaggs
636,peter frampton
637,aerosmith
638,fleetwood mac
639,cliff richard
640,elvin bishop
641,c w mccall
642,john sebastian
643,the brothers johnson
644,bay city rollers
645,wing and a prayer fife and drum corps
646,george benson
647,silver
648,keith carradine
649,harold melvin  the blue notes
650,john travolta
651,jefferson starship
652,foghat
653,thin lizzy
654,candi staton
655,parliament
656,larry groce
657,kiss
658,rick dees  his cast of idiots
659,andy gibb
660,the emotions
661,hot
662,kenny nolan
663,thelma houston
664,rita coolidge
665,alan oday
666,mary macgregor
667,jimmy buffett
668,pablo cruise
669,peter mccann
670,bill conti deetta little and nelson pigford
671,rose royce
672,marilyn mccoo  billy davis jr
673,david soul
674,stephen bishop
675,foreigner
676,climax blues band
677,jennifer warnes
678,natalie cole
679,manfred manns earth band
680,atlanta rhythm section
